mtv, surface, spherical_disproportion, sphericity, stv_ratio, max, min, mean, median, MAD, rms, energy, entropy, kurtosis, skewness, std, uniformity, variance, glcm_energy, glcm_contrast, glcm_entropy, glcm_homogeneity, glcm_correlation, glcm_sumaverage, glcm_variance, glcm_dissimilarity, glcm_autocorrelation, glrlm_sre, glrlm_lre, glrlm_gln, glrlm_rln, glrlm_rp, glrlm_lgre, glrlm_hgre, glrlm_srlge, glrlm_srhge, glrlm_lrlge, glrlm_lrhge, glrlm_glv, glrlm_rlv, glszm_sze, glszm_lze, glszm_gln, glszm_zsn, glszm_zp, glszm_lgze, glszm_hgze, glszm_szlge, glszm_szhge, glszm_lzlge, glszm_lzhge, glszm_glv, glszm_zsv, ngtdm_coarseness, ngtdm_contrast, ngtdm_busyness, ngtdm_complexity, ngtdm_strength, label
0.16192,0.23177,0.22564,0.62225,0.42156,0.19417,0.41578,0.28932,0.30361,0.066908,0.27311,0.02565,0.55321,0.38549,0,0.075506,0.010034,0.019956,0.012591,0,0,0.3756,0.27893,0.013422,0.0118,0,1,0.93743,0.82398,0.088988,0.84785,0.91941,0.0054625,1,0.0054421,1,0.0055514,0.97045,0.85334,0.00027605,0.66398,0.54746,0.057485,0.40934,0.33333,0.014481,1,0.01435,0.92814,0.024937,0.5529,0.053312,0.00027557,0.024873,0.057803,0.020221,0,0.35752,0
0.10771,0.20156,0.56596,0.56038,0.67563,0.27013,0.58158,0.35075,0.35924,0.10098,0.33351,0.025554,0.52529,0.12233,0.30869,0.10561,0.010275,0.030443,0.0069601,0.35895,0.39816,0.28212,0.20587,0.012918,0.03672,0.37894,0.88521,0.96362,0.41946,0.055859,0.90829,0.95193,0.0085591,0.84817,0.0085485,0.87576,0.0086048,0.74634,0.75692,0.00022428,0.7475,0.13149,0.028164,0.52276,0.52941,0.01515,0.61721,0.015067,0.49085,0.017546,0.15351,0.042182,0.00014165,0.024986,0.20206,0.013592,0.66663,0.74673,0
0.3294,0.36809,0.025779,0.66539,0.16129,0.20782,0.32028,0.25591,0.28095,0.15913,0.24611,0.039727,0.81891,0.10872,0.33633,0.14432,0.007855,0.046044,0.0077739,0.24087,0.52409,0.3058,0.32297,0.013008,0.033024,0.27491,0.91426,0.94715,0.79099,0.046804,0.87108,0.9262,0.003978,0.82873,0.0039601,0.82029,0.0040652,0.87153,0.42921,0.0001356,0.81873,0.35905,0.030183,0.63004,0.50964,0.0068747,0.64363,0.0067295,0.87039,0.013401,0.40416,0.018973,5.3752e-05,0.013348,0.086107,0.021206,0.64796,0.27681,0
0.17026,0.22589,0.10268,0.6481,0.36193,0.17088,0.24119,0.16653,0.16918,0.13459,0.1613,0.013551,0.80122,0.16792,0.54894,0.12986,0.0075104,0.039939,0.0023028,0.16966,0.79066,0.23683,0.34096,0.012086,0.02761,0.28797,0.69369,0.97141,0.31295,0.033093,0.92727,0.96147,0.010957,0.62582,0.010754,0.65755,0.011778,0.52055,0.26382,0.00010224,0.78251,0.055006,0.030036,0.57026,0.62162,0.0098231,0.58705,0.0042574,0.70089,0.033202,0.054717,0.057451,6.4891e-05,0.029425,0.086586,0.016551,0.34379,0.34009,0
0.27241,0.33023,0.11079,0.64633,0.23768,0.15022,0.24536,0.15881,0.1719,0.11075,0.15116,0.018527,0.85865,0.094511,0.45019,0.098447,0.0071136,0.027816,0.0036593,0.048988,0.59936,0.26946,0.24866,0.012477,0.015149,0.15888,0.77124,0.9615,0.46389,0.042672,0.90343,0.94865,0.003864,0.71263,0.00385,0.73506,0.0039248,0.63451,0.46031,0.00016895,0.72945,0.11057,0.036123,0.4936,0.51757,0.0067661,0.63061,0.0066476,0.62594,0.0092335,0.11055,0.039796,6.0762e-05,0.023881,0.011877,0.016882,0.17557,0.13355,0
0.23002,0.29153,0.12913,0.64236,0.28935,0.16896,0.28237,0.18328,0.17382,0.13854,0.17639,0.019212,0.83907,0.042671,0.52211,0.1249,0.007258,0.037921,0.0019417,0.27809,0.82824,0.21337,0.2379,0.012166,0.032529,0.4057,0.7089,0.97528,0.25169,0.032168,0.93681,0.96658,0.0058304,0.64309,0.0058202,0.68267,0.0058747,0.51821,0.34156,0.00012719,0.74864,0.045011,0.030178,0.51905,0.61597,0.008904,0.57345,0.0087781,0.58224,0.010162,0.048552,0.070082,7.1438e-05,0.021113,0.10717,0.019519,0.66449,0.32453,0
0,0,0,0.67139,0.93693,0.014193,0,0,0,0.041617,0,0,0,0.43248,0.95962,0.043294,0.015822,0.010332,0.0024333,1,0.60187,0.12389,0.040982,0.0099536,0.069165,1,0.23763,0.99135,0,0.035511,0.9772,0.9886,0.061552,0.2222,0.061546,0.24987,0.061573,0.14072,0.31666,0.00020762,0.87468,0,0.035154,0.72093,0.84314,0.072071,0.19653,0.072001,0.36222,0.072426,0.00075591,0.19215,0.00021254,0.043373,1,0.026139,1,1,0
0.33773,0.39378,0.12823,0.64255,0.18646,0.045281,0.085729,0.096584,0.12224,0.04734,0.087649,0.013072,0.81568,0.066473,0.36797,0.037946,0.007799,0.0088945,0.0059861,0.25102,0.56565,0.28905,0.30042,0.013001,0.032751,0.29478,0.91054,0.95081,0.68885,0.044891,0.8789,0.93273,0.00459,0.82459,0.0045739,0.82544,0.004665,0.82554,0.4218,0.00013133,0.8127,0.39613,0.02741,0.61773,0.49198,0.0083686,0.60682,0.008256,0.79019,0.01542,0.44135,0.017704,6.0974e-05,0.012891,0.078643,0.020599,0.77777,0.301,0
0.1786,0.23914,0.13663,0.64075,0.36131,0.017226,0.068062,0.042386,0.057512,0.028218,0.03562,0.0040438,0.87422,0.12873,0.51925,0.0214,0.0069204,0.0047344,0.0019451,0.37731,0.85523,0.21606,0.35082,0.011494,0.046462,0.45001,0.57817,0.9737,0.25284,0.030273,0.93251,0.96564,0.0078308,0.51625,0.0077558,0.54271,0.0081321,0.42402,0.30467,0.00011607,0.80792,0.048025,0.025413,0.61161,0.64953,0.010715,0.41954,0.010355,0.52514,0.016268,0.047253,0.041176,5.2186e-05,0.025952,0.14687,0.013918,0.87257,0.59209,0
0.27867,0.34892,0.18987,0.62955,0.25728,0,0.031218,0.038975,0.054559,0.016745,0.031307,0.0057085,0.90151,0.11262,0.42288,0.0095946,0.0068899,0.0020325,0.0017068,0.34805,0.94371,0.21096,0.29823,0.011622,0.040654,0.43325,0.59667,0.97416,0.25329,0.027983,0.93377,0.96588,0.0089785,0.53156,0.0089672,0.5588,0.0090252,0.43862,0.27928,0.00010538,0.78807,0.050598,0.024272,0.57762,0.64174,0.013275,0.42692,0.013152,0.47258,0.0147,0.051401,0.037982,4.3842e-05,0.020541,0.094265,0.015867,0.93182,0.37615,0
0.23419,0.31727,0.27613,0.61222,0.33446,0.035129,0.057094,0.054612,0.058999,0.038196,0.047931,0.0060744,0.80138,0.043669,0.51199,0.031388,0.0075624,0.0071936,0.0022766,0.12202,0.73924,0.22965,0.24299,0.012512,0.020726,0.26245,0.78271,0.97394,0.27306,0.037135,0.93352,0.96477,0.0046138,0.70693,0.0046034,0.75224,0.0046589,0.56491,0.41297,0.00015055,0.6939,0.050561,0.032548,0.44685,0.58015,0.0074009,0.69116,0.0072664,0.60171,0.0087979,0.051789,0.065772,7.6584e-05,0.024994,0.040603,0.016726,0.32125,0.23301,0
0.086866,0.16453,0.48424,0.57409,0.70511,0.014196,0.14124,0.043375,0.051116,0,0.034521,0.0021582,0.63001,0.13444,0.60688,0,0.0087833,0,0.0022282,0.34276,0.72461,0.20598,0.24541,0.011655,0.037177,0.43469,0.59646,0.98114,0.1623,0.031995,0.95139,0.97437,0.0086789,0.51366,0.0086688,0.55369,0.0087218,0.39145,0.31377,0.00012891,0.74334,0.022324,0.029103,0.51334,0.67407,0.012298,0.48641,0.01214,0.47837,0.013284,0.022356,0.1127,0.0001321,0.040633,0.15887,0.012814,0.48758,0.63198,0
0.28006,0.35917,0.24491,0.61838,0.27376,0.70908,0.5347,0.71971,0.73561,0.6387,0.72139,0.18059,0.88259,0.081527,0.37164,0.6136,0.0069688,0.42492,0.0045672,0.18403,0.59553,0.2726,0.27927,0.013148,0.026598,0.26609,0.94142,0.95945,0.5479,0.042032,0.89916,0.94378,0.0038931,0.85428,0.003881,0.87324,0.0039511,0.8005,0.41282,0.00012739,0.8078,0.21751,0.029685,0.61569,0.52038,0.0068007,0.65209,0.006728,0.7918,0.01059,0.25566,0.02595,5.8259e-05,0.017306,0.079022,0.019077,0.44811,0.22588,0
0.18763,0.24902,0.13839,0.64037,0.34836,0.75693,0.48464,0.6997,0.68098,0.78578,0.71658,0.12949,0.81823,0.094631,0.4428,0.74269,0.0072627,0.59061,0.0039299,0.15235,0.69186,0.24462,0.32522,0.012981,0.025778,0.2739,0.90268,0.97043,0.35977,0.03524,0.92532,0.95874,0.0051713,0.79956,0.0051624,0.83634,0.0052128,0.69148,0.32803,0.0001085,0.8204,0.095113,0.030078,0.62977,0.65041,0.0074678,0.71895,0.0073984,0.95121,0.009227,0.11738,0.033414,4.0807e-05,0.026123,0.063669,0.014235,0.41126,0.44779,0
0.123,0.21304,0.47785,0.57519,0.59962,0.11075,0.055642,0.09559,0.095535,0.11566,0.093943,0.0059569,0.66451,0.14487,0.60108,0.10902,0.0086095,0.031721,0.0019332,0.29853,0.86146,0.169,0.27139,0.011037,0.035763,0.50014,0.46727,0.9849,0.14074,0.03086,0.96125,0.97792,0.0074319,0.40715,0.0074244,0.44314,0.0074677,0.30942,0.20232,9.7635e-05,0.85899,0.027732,0.026286,0.69492,0.75159,0.0095123,0.38698,0.0094252,0.63921,0.010501,0.025608,0.043724,5.0769e-05,0.031725,0.10637,0.016298,0.60403,0.45129,0
